"","JagsEstimates","ScalaEstimates","RainierEstimatesHMC50","trueCoefs","RainierEstimatesHMC100"
"int_effects[6,7]",0.556716085227057,-0.317582020723356,0.0425149461949332,0,-0.11843273888944
"int_effects[6,8]",2.38514029869793,1.45761098717529,0.259600806421678,0,0.48575619598117
"int_effects[6,9]",1.5399323957435,0.864880721461608,0.190906994746684,0,0.300139950810641
"int_effects[7,1]",-1.77715608322631,-1.88585864350597,-0.309972711866477,0,-0.704920513632361
"int_effects[7,10]",2.95649675107772,4.29208776820531,0.688035527814119,6.1,1.73914725578403
"int_effects[7,11]",1.80242134939302,4.6285991270582,0.712048903672148,5.9,1.86596268627841
"int_effects[7,12]",-0.450178485231832,-0.793506997187675,-0.105870536829188,0,-0.262159103839258
"int_effects[7,13]",4.29738605460987,3.54184504349859,0.565717084957771,5.3,1.34391416453674
"int_effects[7,14]",-1.98528913415654,-2.03229557830272,-0.36606520794962,0,-0.840968834098455
"int_effects[7,15]",-0.776025364718836,-0.210111709375561,-0.0716629896055109,0,-0.0871013616769065
"int_effects[7,2]",-0.25282626360168,-0.573221813477247,-0.115323916962525,0,-0.24549785734176
"int_effects[7,3]",-1.9174101033753,-1.49824389876527,-0.228876040291825,0,-0.519957053801824
"int_effects[7,4]",-1.26837610736134,-1.44556756151443,-0.252001540550879,0,-0.575674139435759
"int_effects[7,5]",-1.77446224740059,-1.54687664537358,-0.241613856487292,0,-0.570012922676951
"int_effects[7,6]",0.200424173522267,-1.2154012468752,-0.195224287065983,0,-0.542585834551055
"int_effects[7,7]",-0.719436500562934,-1.55637380699911,-0.307409367721135,0,-0.740477507269724
"int_effects[7,8]",0.942821234508794,0.0624699926665247,-0.00443591396324497,0,-0.0118546404735534
"int_effects[7,9]",0.228854380732296,-0.406885197606633,-0.0652160622797619,0,-0.179048839018829
"int_effects[8,1]",5.74279715289086,5.51818068837215,0.707578267139835,7.1,1.72194826748704
"int_effects[8,10]",-7.68000067852592,-6.19606123583666,-0.899339891722871,-5.1,-2.15168730689204
"int_effects[8,11]",-3.40203549717348,-0.496811274637957,-0.0360310004837452,0,-0.0140154259144781
"int_effects[8,12]",-0.127010721159152,-0.46889338690077,-0.054501715392375,0,-0.175694818559202
"int_effects[8,13]",-0.46397320660102,-1.15242670209005,-0.131407085244539,0,-0.409339996915474
"int_effects[8,14]",5.61449864520693,5.47285860413527,0.838904638495868,7.3,1.99162899910238
"int_effects[8,15]",-0.351840742034643,0.217278480541811,0.0599998297658322,0,0.127673731572276
"int_effects[8,2]",0.254708459917859,-0.0655053520108258,0.0415213069373161,0,0.0218639947865832
"int_effects[8,3]",-1.82008994024888,-1.39585249406689,-0.185390979494074,0,-0.470312132444598
"int_effects[8,4]",-0.658721033176372,-0.837017047102509,-0.0935047366107033,0,-0.275993741827094
"int_effects[8,5]",1.23133213836937,1.42195752064323,0.231344333263039,2.5,0.522457327067768
"int_effects[8,6]",1.76821482652362,0.339289102345266,0.0848805107274374,1.1,0.0800748498139307
"int_effects[8,7]",-0.500312935085656,-1.32629003582609,-0.154415560510618,0,-0.45028229546055
"int_effects[8,8]",1.08081664617877,0.204763242579666,0.0756166560989724,0,0.0892773502220749
"int_effects[8,9]",0.494817242726498,-0.138975246807633,-0.00617990801724681,0,-0.0644936532406286
"int_effects[9,1]",-1.56340145538351,-1.59836365372909,-0.275727957368254,0,-0.575365139288728
"int_effects[9,10]",-2.74055055386641,-1.25642106387641,-0.222843269501789,0,-0.373247470872843
"int_effects[9,11]",-3.67056198416558,-0.695676042162099,-0.153074223759618,0,-0.13772834680179
"int_effects[9,12]",-0.528016633998597,-0.799907716037427,-0.18654169537358,0,-0.344127336721066
"int_effects[9,13]",-1.10203777972552,-1.7183381962386,-0.311520171203426,0,-0.689084388921595
"int_effects[9,14]",-2.0564629740422,-2.01982228658611,-0.285732941406506,0,-0.628978472495323
"int_effects[9,15]",-0.693063917362265,-0.0553302959427391,-0.0534305830765954,0,-0.00562798613131222
"int_effects[9,2]",3.24254902303933,2.94039191305711,0.374236651124485,3.3,0.995537932830775
"int_effects[9,3]",-2.13124888235308,-1.63538866424028,-0.319096452074243,0,-0.623526624071894
"int_effects[9,4]",-1.07598453047273,-1.18308470696253,-0.232682456263604,0,-0.462615838406224
"int_effects[9,5]",-1.73177945869859,-1.43088361068032,-0.267323595569671,0,-0.514520335728582
"int_effects[9,6]",5.00392034379753,3.59323911793566,0.469696641066033,4.6,1.20130466746799
"int_effects[9,7]",8.38862330843755,7.49083620919669,0.981084767677847,9.1,2.48051376502846
"int_effects[9,8]",-3.43699675865327,-4.18032328470394,-0.668423988612915,-4.3,-1.55718769775071
"int_effects[9,9]",0.322683369616701,-0.239334189777971,-0.082904022975935,0,-0.131379966688597
"mu",11.7209942125233,11.670113718886,11.6934191194931,3.1,11.6947825216732
"tau",0.995461853233464,0.994494592228562,0.370487849008179,1,0.370487849008179
